"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","14","1","1","25.400734","0","52"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","14","2","1","24.476400","0","104"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","36","5","1","27.204016","0","614"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","37","1","1","125.945656","0","732"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","23","1","1","24.106842","0","279"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","23","2","1","25.280689","0","261"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","23","1","1","23.335646","0","298"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","4","1","1","3.379768","0","13"
"/Game/Material/M_Light.M_Light","0","43","1","1","24.751520","0","912"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","37","1","1","35.408665","0","572"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","23","1","1","22.368282","0","251"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","23","1","1","21.876818","0","255"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","23","1","1","22.726406","0","205"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","33","1","1","20.158760","0","375"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Game/Material/M_SpriteMaterial.M_SpriteMaterial","0","0","57","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","23","1","1","22.631762","0","138"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","37","3","1","112.014656","0","260"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","23","1","1","22.799683","0","153"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","27","1","1","16.396830","0","160"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","72","2","1","66.510033","0","782"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","23","1","1","24.261099","0","190"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","23","1","1","23.765114","0","194"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","23","1","1","26.360641","0","119"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","23","1","1","24.571133","0","169"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","23","1","1","23.717749","0","162"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","23","1","1","24.970051","0","170"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","23","1","1","25.585619","0","206"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","23","1","1","23.670008","0","173"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","23","2","1","24.873770","0","142"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","23","4","1","25.468454","0","149"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","23","1","1","23.870939","0","149"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","23","8","1","29.696978","0","164"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","23","1","1","24.202147","0","160"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","23","1","1","24.081432","0","155"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","23","5","1","25.654373","0","195"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","23","2","1","24.053772","0","176"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","23","9","1","28.906879","0","233"
